Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,11-Mar-2013,28-Mar-2013,490.5,464.15,12165.4,11800.0,0.00094,0.04657534247,0.3395252158,445,591.0349142,604.3295208,582.1379851,400.3,653.3823394,652.613329,648.0909083
BANKNIFTY,11-Mar-2013,28-Mar-2013,680,625.05,12165.4,11600.0,0.00094,0.04657534247,0.3575321198,624.6,746.4748591,759.8369579,739.3460869,560.85,726.3335352,733.9363964,720.1071649
BANKNIFTY,12-Mar-2013,28-Mar-2013,118.9,97.05,12054.5,12400.0,0.00094,0.04383561644,0.2400187185,91.8,122.429391,124.7906898,114.2741898,44.6,152.0673641,157.829797,145.9872269
BANKNIFTY,12-Mar-2013,28-Mar-2013,233.9,214.55,12054.5,12100.0,0.00094,0.04383561644,0.2807215558,209.45,280.6517143,286.9683016,270.631459,107.2,135.6343076,134.8748771,130.1832826
BANKNIFTY,12-Mar-2013,28-Mar-2013,187.05,170.45,12054.5,12200.0,0.00094,0.04383561644,0.2971356818,162,251.4172136,247.2701943,242.5282701,81.8,87.16222872,91.98115127,81.76088568
BANKNIFTY,12-Mar-2013,28-Mar-2013,145,129.65,12054.5,12300.0,0.00094,0.04383561644,0.2680316899,124,182.4383885,185.4911844,173.8211924,59.2,225.2682259,227.8046001,220.4611146
BANKNIFTY,12-Mar-2013,28-Mar-2013,299.95,272.6,12054.5,12000.0,0.00094,0.04383561644,0.3214905839,263,372.4314668,376.4746372,364.9597025,144.8,283.4219376,282.3537818,278.864994
BANKNIFTY,12-Mar-2013,28-Mar-2013,351.45,336.2,12054.5,11900.0,0.00094,0.04383561644,0.3388077237,322,444.8807504,451.0976017,437.6290508,186.25,862.5881232,871.1603914,850.5120387
BANKNIFTY,12-Mar-2013,28-Mar-2013,432.35,400.3,12054.5,11800.0,0.00094,0.04383561644,0.3395252158,384.25,505.3749487,510.228316,498.7251733,226.75,546.8619559,562.0799286,537.0690872
BANKNIFTY,12-Mar-2013,28-Mar-2013,556,478.45,12054.5,11700.0,0.00094,0.04383561644,0.3218359157,476.2,554.0849528,554.8568792,544.1015166,292.3,625.8483175,622.6636472,615.8760736
BANKNIFTY,12-Mar-2013,28-Mar-2013,641.45,560.85,12054.5,11600.0,0.00094,0.04383561644,0.3575321198,551,653.3823394,652.613329,648.0909083,351.6,517.7808462,521.4316914,513.7030459
BANKNIFTY,12-Mar-2013,28-Mar-2013,729.3,660.9,12054.5,11500.0,0.00094,0.04383561644,0.3592135596,630,726.3335352,733.9363964,720.1071649,413.1,697.0901592,705.4664724,685.427925
BANKNIFTY,13-Mar-2013,28-Mar-2013,180.6,107.2,11777.5,12100.0,0.00094,0.04109589041,0.2807215558,100.7,152.0673641,157.829797,145.9872269,186.15,215.1096021,215.8036567,208.6345533
BANKNIFTY,13-Mar-2013,28-Mar-2013,221.5,144.8,11777.5,12000.0,0.00094,0.04109589041,0.3214905839,134.2,225.2682259,227.8046001,220.4611146,238.9,508.8810368,511.0827844,500.054246
