Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13800.00,-,-,-,140.05,-,96.30,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13400.00,-,-,-,139.65,-,159.05,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13200.00,-,-,-,116.05,-,201.75,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13300.00,-,-,-,156.65,-,179.20,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13600.00,-,-,-,121.95,-,124.40,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13500.00,-,-,-,128.55,-,140.85,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13100.00,-,-,-,146.50,-,225.50,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,13000.00,-,-,-,163.80,-,252.15,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12800.00,-,-,-,204.00,-,312.80,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12700.00,-,-,-,226.60,-,347.00,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12600.00,-,-,-,250.70,-,383.95,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12900.00,-,-,-,182.80,-,281.20,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12500.00,-,-,-,277.55,-,423.75,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12400.00,-,-,-,306.55,-,466.40,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12300.00,-,-,-,337.95,-,512.05,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12200.00,-,-,-,371.70,-,560.70,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12000.00,510.00,510.00,510.00,510.00,510.00,510.00,4.00,12.51,51000.00,100.00,100.00,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,12100.00,-,-,-,408.00,-,612.35,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11900.00,-,-,-,488.30,-,724.75,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11800.00,-,-,-,532.50,-,785.45,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11700.00,-,-,-,579.45,-,849.05,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11300.00,-,-,-,1148.00,1148.00,1131.80,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11500.00,-,-,-,681.75,-,985.45,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11200.00,-,-,-,856.10,-,1208.85,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11100.00,-,-,-,919.70,-,1288.25,-,-,-,-,-,12054.50
BANKNIFTY,12-Mar-2013,30-May-2013,CE,11000.00,-,-,-,986.00,-,1369.80,-,-,-,-,-,12054.50
